city,state,state_abbr
Princeton,Texas,TX
Plano,Texas,TX
Scottsdale,Arizona,AZ
Raleigh,North Carolina,NC
Austin,Texas,TX
Denver,Colorado,CO
Tampa,Florida,FL
Nashville,Tennessee,TN
Phoenix,Arizona,AZ
Portland,Oregon,OR
Charlotte,North Carolina,NC
San Diego,California,CA
Las Vegas,Nevada,NV
Miami,Florida,FL
Seattle,Washington,WA
Atlanta,Georgia,GA
Minneapolis,Minnesota,MN
Orlando,Florida,FL
San Antonio,Texas,TX
Jacksonville,Florida,FL
Fort Worth,Texas,TX
Oklahoma City,Oklahoma,OK
Louisville,Kentucky,KY
Memphis,Tennessee,TN
Richmond,Virginia,VA
